spikerate,info,index,genotype,months,.
23.33333333,25.81936239,539,Degenerative,3,
16.55555556,6.495826694,552,Degenerative,3,
18,8.806349318,554,Degenerative,3,
13.77777778,7.712264187,555,Degenerative,3,
20,6.120809708,561,Degenerative,3,
18.22222222,13.36646016,573,Degenerative,3,
19,6.815076475,595,Degenerative,3,
36.77777778,11.81156388,601,Degenerative,3,
12.11111111,7.011831634,607,Degenerative,3,
23.66666667,18.60479573,621,Degenerative,3,
3.555555556,7.621621601,630,Degenerative,3,
3.222222222,7.102654812,631,Degenerative,3,
22.88888889,13.35436525,639,Degenerative,3,
12.88888889,10.37016386,640,Degenerative,3,
10.22222222,6.197359202,643,Degenerative,3,
15.44444444,11.78433094,646,Degenerative,3,
13,6.179737839,647,Degenerative,3,
25,11.3143503,648,Degenerative,3,
12.11111111,7.331738592,649,Degenerative,3,
16.66666667,8.415071749,669,Degenerative,3,
8.888888889,6.517805036,670,Degenerative,3,
20.55555556,28.54844512,7,Degenerative,3,
38.66666667,32.83520983,13,Degenerative,3,
40,26.17114996,41,Degenerative,3,
32.44444444,39.74874398,47,Degenerative,3,
18.44444444,31.61125541,55,Degenerative,3,
